"interpro_accession","total_freq","inKaKs2","geneid_vec","interpro_description","geneid_vec_wKaKs2","expected_freq","IDlong","fisher_res","fisher_res_BF","fisher_res_Holm","fisher_res_BH","fisher_res_BY"
"IPR041997",1,0,"FUN_006013","Ribosomal Protein L6, KOW domain",NA,0.00410813676119799,"Ribosomal Protein L6, KOW domain IPR041997",1,1,1,1,1
"IPR041999",1,0,"FUN_013398","Sortase D, type 1",NA,0.00410813676119799,"Sortase D, type 1 IPR041999",1,1,1,1,1
"IPR042024",1,0,"FUN_001235","D-xylulose kinase",NA,0.00410813676119799,"D-xylulose kinase IPR042024",1,1,1,1,1
"IPR042030",1,0,"FUN_014897","Chaperone protein HscC, nucleotide-binding domain",NA,0.00410813676119799,"Chaperone protein HscC, nucleotide-binding domain IPR042030",1,1,1,1,1
"IPR042031",1,0,"FUN_009877","SKA1 microtubule binding domain",NA,0.00410813676119799,"SKA1 microtubule binding domain IPR042031",1,1,1,1,1
"IPR042035",1,0,"FUN_005795","DEAH helicase, winged-helix domain",NA,0.00410813676119799,"DEAH helicase, winged-helix domain IPR042035",1,1,1,1,1
"IPR042036",1,0,"FUN_005396","Ribosomal RNA-processing protein 8, N-terminal domain",NA,0.00410813676119799,"Ribosomal RNA-processing protein 8, N-terminal domain IPR042036",1,1,1,1,1
"IPR042044",1,0,"FUN_000586","Exocyst complex component EXOC6/Sec15, C-terminal, domain 2",NA,0.00410813676119799,"Exocyst complex component EXOC6/Sec15, C-terminal, domain 2 IPR042044",1,1,1,1,1
"IPR042045",1,0,"FUN_000586","Exocyst complex component EXOC6/Sec15, C-terminal, domain 1",NA,0.00410813676119799,"Exocyst complex component EXOC6/Sec15, C-terminal, domain 1 IPR042045",1,1,1,1,1
"IPR042050",1,0,"FUN_005321","Endoplasmic reticulum chaperone BIP, nucleotide-binding domain",NA,0.00410813676119799,"Endoplasmic reticulum chaperone BIP, nucleotide-binding domain IPR042050",1,1,1,1,1
